epoch,accuracy,loss,val_accuracy,val_loss
0,0.5354285836219788,0.6886873841285706,0.5957333445549011,0.6767290830612183
1,0.581514298915863,0.6740743517875671,0.5745333433151245,0.6800410747528076
2,0.5692285895347595,0.6749263405799866,0.5636000037193298,0.6792168617248535
3,0.6564571261405945,0.6219051480293274,0.7024000287055969,0.5984708070755005
4,0.7541714310646057,0.5083490610122681,0.7563999891281128,0.47750788927078247
5,0.8075428605079651,0.4332115650177002,0.8078666925430298,0.42163705825805664
6,0.8644571304321289,0.3382191061973572,0.8566666841506958,0.34193000197410583
7,0.8873428702354431,0.2898898124694824,0.8632000088691711,0.32158324122428894
8,0.9033142924308777,0.2545829713344574,0.8661333322525024,0.3211718201637268
9,0.9163714051246643,0.22520314157009125,0.8681333065032959,0.31640902161598206
10,0.9279999732971191,0.1979825794696808,0.8694666624069214,0.34551817178726196
11,0.9392571449279785,0.17502334713935852,0.8697333335876465,0.34557223320007324
12,0.9549999833106995,0.14092972874641418,0.8679999709129333,0.3796772360801697
13,0.9608571529388428,0.1277228742837906,0.8673333525657654,0.3773902952671051
