epoch,accuracy,loss,val_accuracy,val_loss
0,0.5026571154594421,0.7078256607055664,0.4893333315849304,0.6937339305877686
1,0.5000571608543396,0.6965108513832092,0.49186667799949646,0.6941878199577332
2,0.5062000155448914,0.6940717697143555,0.49186667799949646,0.6933931708335876
3,0.49782857298851013,0.6941202878952026,0.5093333125114441,0.693123459815979
4,0.5039714574813843,0.6933808326721191,0.49160000681877136,0.693174421787262
5,0.4982571303844452,0.6936864256858826,0.49186667799949646,0.6932775378227234
6,0.502914309501648,0.6933403015136719,0.49186667799949646,0.6932615637779236
7,0.5013142824172974,0.6933333873748779,0.49186667799949646,0.6933051347732544
0,0.5042285919189453,0.7075987458229065,0.4864000082015991,0.693893313407898
1,0.499828577041626,0.6952435374259949,0.49186667799949646,0.6933945417404175
2,0.5041714310646057,0.6937999725341797,0.49186667799949646,0.6935253739356995
3,0.4997714161872864,0.6941335797309875,0.49186667799949646,0.693139910697937
4,0.5033142566680908,0.6934526562690735,0.492000013589859,0.692624568939209
5,0.5039428472518921,0.6946496367454529,0.4954666793346405,0.6927827000617981
6,0.5136571526527405,0.692430853843689,0.5009333491325378,0.6925529837608337
7,0.5331714153289795,0.6880080699920654,0.5027999877929688,0.69354647397995
8,0.5369142889976501,0.6840795278549194,0.5027999877929688,0.6952506303787231
9,0.5473999977111816,0.6776755452156067,0.5027999877929688,0.6994598507881165
10,0.5555142760276794,0.6727660298347473,0.5027999877929688,0.7019659280776978
